Record Length,20480










Source,CH1,CH2
Second,Volt,Volt
-0.02048000000,2.56000,2.44000
-0.02047800156,2.56000,2.44000
-0.02047600000,2.56000,2.44000
-0.02047400000,2.56000,2.44000
-0.02047200000,2.64000,2.48000
-0.02047000156,2.56000,2.44000
-0.02046800000,2.56000,2.44000
-0.02046600000,2.56000,2.44000
-0.02046400000,2.60000,2.48000
-0.02046200000,2.60000,2.44000
-0.02046000000,2.56000,2.44000
-0.02045800000,2.56000,2.44000
-0.02045600000,2.56000,2.44000
-0.02045400000,2.56000,2.44000
-0.02045200000,2.56000,2.48000
-0.02045000000,2.56000,2.44000
-0.02044800000,2.56000,2.44000
-0.02044600000,2.60000,2.48000
-0.02044400000,2.76000,2.68000
-0.02044200000,2.56000,2.44000
-0.02043999844,2.60000,2.44000
-0.02043800000,2.56000,2.44000
-0.02043600000,2.56000,2.44000
-0.02043400000,2.60000,2.44000
-0.02043199844,2.60000,2.44000
-0.02043000000,2.52000,2.36000
-0.02042800000,2.56000,2.44000
-0.02042600000,2.60000,2.48000
-0.02042399844,2.60000,2.44000
-0.02042200000,2.56000,2.44000
-0.02042000000,2.60000,2.44000
-0.02041800000,2.56000,2.44000
-0.02041600156,2.56000,2.44000
-0.02041400000,2.56000,2.44000
-0.02041200000,2.60000,2.44000
-0.02041000000,2.56000,2.44000
-0.02040800156,2.56000,2.44000
-0.02040600000,2.56000,2.44000
-0.02040400000,2.60000,2.44000
-0.02040200000,2.40000,2.32000
-0.02040000000,2.56000,2.44000
-0.02039800000,2.56000,2.44000
-0.02039600000,2.60000,2.44000
-0.02039400000,2.60000,2.44000
-0.02039200000,2.60000,2.44000
-0.02039000000,2.52000,2.40000
-0.02038800000,2.56000,2.44000
-0.02038600000,2.60000,2.44000
-0.02038400000,2.60000,2.44000
-0.02038200000,2.56000,2.44000
-0.02038000000,2.60000,2.44000
-0.02037799844,2.52000,2.36000
-0.02037600000,2.56000,2.44000
-0.02037400000,2.56000,2.44000
-0.02037200000,2.60000,2.44000
-0.02036999844,2.60000,2.44000
-0.02036800000,2.56000,2.44000
-0.02036600000,2.64000,2.48000
-0.02036400000,2.56000,2.44000
-0.02036199844,2.56000,2.44000
-0.02036000000,2.60000,2.48000
-0.02035800000,2.60000,2.44000
-0.02035600000,2.56000,2.44000
-0.02035400156,2.60000,2.48000
-0.02035200000,2.52000,2.48000
-0.02035000000,2.56000,2.44000
-0.02034800000,2.56000,2.44000
-0.02034600156,2.56000,2.44000
-0.02034400000,2.60000,2.44000
-0.02034200000,2.60000,2.44000
-0.02034000000,2.56000,2.44000
-0.02033800000,2.56000,2.44000
-0.02033600000,2.56000,2.44000
-0.02033400000,2.60000,2.48000
-0.02033200000,2.60000,2.48000
-0.02033000000,2.60000,2.44000
-0.02032800000,2.56000,2.48000
-0.02032600000,2.60000,2.48000
-0.02032400000,2.56000,2.44000
-0.02032200000,2.56000,2.44000
-0.02032000000,2.68000,2.52000
-0.02031800000,2.68000,2.56000
-0.02031599844,2.56000,2.44000
-0.02031400000,2.56000,2.44000
-0.02031200000,2.56000,2.44000
-0.02031000000,2.56000,2.40000
-0.02030799844,2.56000,2.44000
-0.02030600000,2.56000,2.44000
-0.02030400000,2.56000,2.40000
-0.02030200000,2.56000,2.44000
-0.02029999844,2.56000,2.44000
-0.02029800000,2.60000,2.48000
-0.02029600000,2.56000,2.44000
-0.02029400000,2.56000,2.44000
-0.02029200156,2.64000,2.48000
-0.02029000000,2.56000,2.44000
-0.02028800000,2.60000,2.44000
-0.02028600000,2.56000,2.44000
-0.02028400156,2.56000,2.44000
-0.02028200000,2.56000,2.44000
-0.02028000000,2.60000,2.48000
-0.02027800000,2.56000,2.44000
-0.02027600000,2.56000,2.44000
-0.02027400000,2.52000,2.40000
-0.02027200000,2.60000,2.44000
-0.02027000000,2.56000,2.44000
-0.02026800000,2.72000,2.64000
-0.02026600000,2.56000,2.44000
-0.02026400000,2.56000,2.44000
-0.02026200000,2.52000,2.36000
-0.02026000000,2.56000,2.44000
-0.02025800000,2.56000,2.44000
-0.02025600000,2.56000,2.44000
-0.02025399844,2.56000,2.44000
-0.02025200000,2.56000,2.44000
-0.02025000000,2.60000,2.44000
-0.02024800000,2.56000,2.44000
-0.02024599844,2.56000,2.48000
-0.02024400000,2.56000,2.44000
-0.02024200000,2.56000,2.44000
-0.02024000000,2.56000,2.44000
-0.02023799844,2.56000,2.44000
-0.02023600000,2.56000,2.44000
-0.02023400000,2.56000,2.44000
-0.02023200000,2.56000,2.44000
-0.02023000156,2.56000,2.44000
-0.02022800000,2.56000,2.44000
